source_table,source_sheet,source_column,series_name,region,subregion,product,metric,unit,period_type
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,WTTIM_R50-Z00_2,Weekly West Coast (PADD 5) Crude Oil and Petroleum Products Imports,,,Weekly West Coast (PADD 5) Crude Oil and Petroleum Products Imports,Weekly West Coast (PADD 5) Crude Oil and Petroleum Products Imports,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,WTTNTUS2,weekly U.S. Total Crude Oil and Petroleum Products Net Imports,U.S.,,Total Crude Oil and Petroleum Products Net Imports,Total Crude Oil and Petroleum Products Net Imports,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,WTTSTUS1,weekly U.S. Total Crude Oil and Petroleum Products Ending Stocks (Including SPR),U.S.,,Total Crude Oil and Petroleum Products Ending Stocks (Including SPR),Total Crude Oil and Petroleum Products Ending Stocks (Including SPR),Thousand Barrels,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,WTXIM_R10-Z00_2,Weekly East Coast (PADD 1) Petroleum Products Imports,,,Weekly East Coast (PADD 1) Petroleum Products Imports,Weekly East Coast (PADD 1) Petroleum Products Imports,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,WTXIM_R20-Z00_2,weekly Midwest (PADD 2) Petroleum Products Imports,Midwest,,Petroleum Products Imports,Petroleum Products Imports,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,WTXIM_R30-Z00_2,Weekly Gulf Coast (PADD 3) Petroleum Products Imports,,,Weekly Gulf Coast (PADD 3) Petroleum Products Imports,Weekly Gulf Coast (PADD 3) Petroleum Products Imports,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,WTXIM_R40-Z00_2,Weekly Rocky Mountain (PADD 4) Petroleum Products Imports,,,Weekly Rocky Mountain (PADD 4) Petroleum Products Imports,Weekly Rocky Mountain (PADD 4) Petroleum Products Imports,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,WTXIM_R50-Z00_2,Weekly West Coast (PADD 5) Petroleum Products Imports,,,Weekly West Coast (PADD 5) Petroleum Products Imports,Weekly West Coast (PADD 5) Petroleum Products Imports,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,WUOSTUS1,weekly U.S. Weekly Unfinished Oils Ending Stocks,U.S.,,Weekly Unfinished Oils Ending Stocks,Weekly Unfinished Oils Ending Stocks,Thousand Barrels,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,WWOUP_NUS_2,Weekly U.S. Other Oils Product Supplied,,,Weekly U.S. Other Oils Product Supplied,Weekly U.S. Other Oils Product Supplied,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPC0NG_TVP_NUS_MBBLD,weekly U.S. Transfers to Crude Oil Supply of Crude Oil,U.S.,,Transfers to Crude Oil Supply of Crude Oil,Transfers to Crude Oil Supply of Crude Oil,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPC0_FPF_R48_MBBLD,weekly Lower 48 States Field Production of Crude Oil,Lower 48,,Field Production of Crude Oil,Field Production of Crude Oil,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPC0_FPF_SAK_MBBLD,weekly Alaska Field Production of Crude Oil,Alaska,,Field Production of Crude Oil,Field Production of Crude Oil,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPC0_IM0_NUS-NBR_MBBLD,weekly U.S. Imports from Brazil of Crude Oil,U.S.,,Imports from Brazil of Crude Oil,Imports from Brazil of Crude Oil,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPC0_IM0_NUS-NCA_MBBLD,weekly U.S. Imports from Canada of Crude Oil,U.S.,,Imports from Canada of Crude Oil,Imports from Canada of Crude Oil,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPC0_IM0_NUS-NCO_MBBLD,weekly U.S. Imports from Colombia of Crude Oil,U.S.,,Imports from Colombia of Crude Oil,Imports from Colombia of Crude Oil,Thousand Barrels per Day,weekly
