section,card,display_row,source_column,display_name,unit,scale,format,stock_flag,allowed_missing,direction,sort_order
RFO,Production,II,WRERPP22,II Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,110
RFO,Production,III,WRERPP32,III Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,111
RFO,Production,IV,WRERPP42,IV Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,112
RFO,Production,V,WRERPP52,V Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,113
RFO,Production,TOT,WRERPUS2,TOT Production,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,114
RFO,Imports,I,WREIM_R10-Z00_2,I Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,115
RFO,Imports,II,WREIM_R20-Z00_2,II Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,116
RFO,Imports,III,WREIM_R30-Z00_2,III Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,117
RFO,Imports,IV,WREIM_R40-Z00_2,IV Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,118
RFO,Imports,V,WREIM_R50-Z00_2,V Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,119
RFO,Imports,TOT,WREIMUS2,TOT Imports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,120
RFO,Exports/Demand,EXP,WREEXUS2,Exports,Thousand Barrels per Day,1.0,kbd,false,false,neutral,121
RFO,Exports/Demand,DEM,WREUPUS2,Demand,Thousand Barrels per Day,1.0,kbd,false,false,higher_green,122
RFO,Yield,I,calc:yield:RFO:I,I Yield,Percent,1.0,percent,false,false,higher_green,123
RFO,Yield,II,calc:yield:RFO:II,II Yield,Percent,1.0,percent,false,false,higher_green,124
RFO,Yield,III,calc:yield:RFO:III,III Yield,Percent,1.0,percent,false,false,higher_green,125
RFO,Yield,IV,calc:yield:RFO:IV,IV Yield,Percent,1.0,percent,false,false,higher_green,126
RFO,Yield,V,calc:yield:RFO:V,V Yield,Percent,1.0,percent,false,false,higher_green,127
RFO,Yield,TOT,calc:yield:RFO:TOT,TOT Yield,Percent,1.0,percent,false,false,higher_green,128
