Date;Latin America;North West Europe Zone;MED Zone (MED Sea+Black Sea);Unknown;Other North Africa;Western Africa;East Coast Canada;Southern Africa;Oceania;Eastern Asia;South-East Asia;West Coast Canada;South-Central Asia;Other Southern Europe;Eastern Africa;Other Middle East;Mideast Gulf;Period End Date
2020-05-08;367.60;105.66;23.95;22.83;0;44.77;0;0;69.18;0;0;0;0;0;0;0;0;2020-05-08
2020-05-15;511.32;0;0;0;0;0;3.73;0;0;0;0;0;0;0;0;0;0;2020-05-15
2020-05-22;683.93;44.08;0;0;0;0;3.16;0;0;0;0;0;0;0;0;0;0;2020-05-22
2020-05-29;308.95;49.35;213.56;0;0;0;0;0;0;10.30;0;0;0;0;0;0;0;2020-05-29
2020-06-05;550.65;0;303.61;4.21;0;46.03;0;0;0;0;0;0;0;0;0;0;0;2020-06-05
2020-06-12;554.17;65.57;140.02;0;47.25;83.84;0;0;46.59;0;14.44;0;0;0;0;0;0;2020-06-12
2020-06-19;596.96;57.98;0;2.14;144.56;0;45.63;0;44.20;0;0;0;0;0;0;0;0;2020-06-19
2020-06-26;819.18;0;151.19;0;0;0;0;0;0;45.55;0;0;0;0;0;0;0;2020-06-26
2020-07-03;889.22;85.58;52.22;48.31;26.02;0;3.08;0;0;0;0;0;0;0;0;0;0;2020-07-03
2020-07-10;718.41;92.35;43.02;13.47;0;40.50;4.68;0;0;0;4.57;0;0;0;0;0;0;2020-07-10
2020-07-17;720.37;49.34;0;10.46;0;44.42;0;0;0;0;0;0;0;0;0;0;0;2020-07-17
2020-07-24;820.85;50.57;90.20;47.88;46.90;43.47;0;0;0;0;23.06;0;0;0;0;0;0;2020-07-24
2020-07-31;543.18;356.55;89.54;0;43.50;44.06;0;0;0;0;23.06;0;0;0;0;0;0;2020-07-31
2020-08-07;900.90;90.27;43.73;0;43.61;0;3.73;0;0;0;0;0;0;0;0;0;0;2020-08-07
2020-08-14;817.01;187.71;43.73;54.05;46.90;0;0;0;0;0;0;0;0;0;0;0;0;2020-08-14
2020-08-21;787.37;335.82;0;44.88;0;0;0;0;0;0;4.26;0;0;0;0;0;0;2020-08-21
2020-08-28;707.55;228.69;0;21.60;68.56;0;3.36;0;0;0;0;0;0;0;0;0;0;2020-08-28
2020-09-04;545.08;115.21;0;95.81;0;44.81;4.48;0;0;0;0;0;0;0;0;0;0;2020-09-04
2020-09-11;633.92;96.41;0;11.24;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-09-11
2020-09-18;537.68;153.50;113.24;0;34.66;0;28.38;0;45.54;0;12.77;0;0;0;0;0;0;2020-09-18
2020-09-25;603.93;92.90;45.02;0;0;0;0;0;0;0;0;0;9.94;0;0;0;0;2020-09-25
2020-10-02;955.78;42.78;62.85;43.07;0;0;6.40;0;0;0;0;0;0;0;0;0;0;2020-10-02
2020-10-09;765.37;58.07;44.77;34.94;0;42.21;31.43;0;0;0;4.95;0;0;0;0;0;0;2020-10-09
2020-10-16;597.96;13.59;64.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-10-16
2020-10-23;640.28;43.77;0;20.53;0;0;17.20;0;0;0;0;0;0;0;0;0;0;2020-10-23
2020-10-30;743.59;0;0;15.76;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-10-30
2020-11-06;766.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-11-06
2020-11-13;838.92;0;0;5.03;0;0;28.63;0;0;0;4.61;0;3.86;0;0;0;0;2020-11-13
2020-11-20;600.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-11-20
2020-11-27;533.77;11.91;0;46.80;0;0;0;0;0;16.45;0;0;0;0;0;0;0;2020-11-27
2020-12-04;732.72;44.53;0;0;0;44.79;0;0;0;0;0;0;0;0;0;0;0;2020-12-04
2020-12-11;628.64;0;0;18.56;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-12-11
2020-12-18;817.33;25.94;45.67;0;0;0;0;0;0;1.42;0;0;0;0;0;0;0;2020-12-18
2020-12-25;939.17;0;0;12.99;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-12-25
2021-01-01;655.97;54.57;0;12.37;42.44;0;41.28;0;0;0;13.70;0;0;0;0;0;0;2021-01-01
2021-01-08;788.42;0;0;33.43;0;0;22.77;0;0;0;0;0;0;0;0;0;0;2021-01-08
2021-01-15;877.30;0;0;1.15;0;0;23.27;0;0;0;0;0;0;0;0;0;0;2021-01-15
2021-01-22;512.11;49.53;45.78;44.06;0;0;0;0;0;0.95;0;0;0;0;0;0;0;2021-01-22
2021-01-29;576.17;0;0;75.55;0;0;0;0;0;0.95;0;0;0;0;0;0;0;2021-01-29
2021-02-05;739.80;0;0;0.47;0;0;0;0;0;0;27.38;0;0;0;0;0;0;2021-02-05
2021-02-12;713.21;44.02;0;44.57;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-02-12
2021-02-19;453.17;2.31;0;52.02;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-02-19
2021-02-26;491.94;43.84;0;3.67;0;0;26.44;0;0;4.75;0;0;0;0;0;0;0;2021-02-26
2021-03-05;394.19;0;0;0;0;0;0;0;0;0.95;0;0;0;0;0;0;0;2021-03-05
2021-03-12;558.78;0;0;1.66;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-03-12
2021-03-19;533.30;0;0;44.26;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-03-19
2021-03-26;587.99;49.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-03-26
2021-04-02;754.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-04-02
2021-04-09;890.64;0;0;15.21;0;0;0;0;0;0;20.49;0;0;0;0;0;0;2021-04-09
2021-04-16;736.75;0;15.30;0;0;0;39.35;0;0;0;0;0;0;0;0;0;0;2021-04-16
2021-04-23;791.63;0;0;47.72;0;0;0;0;0;0.57;0;0;0;0;0;0;0;2021-04-23
2021-04-30;702.60;0;0;44.28;0;0;0;0;0;17.03;0;0;0;0;0;0;0;2021-04-30
2021-05-07;691.03;44.57;0;3.05;0;0;36.38;0;0;0;0;0;0;0;0;0;0;2021-05-07
2021-05-14;721.45;0;0;44.06;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-05-14
2021-05-21;636.36;45.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-05-21
2021-05-28;659.51;141.93;0;41.95;0;0;33.78;0;0;0;0;0;0;0;0;0;0;2021-05-28
2021-06-04;844.78;148.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-06-04
2021-06-11;829.59;142.45;0;42.64;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-06-11
2021-06-18;783.02;44.60;0;7.68;45.87;0;0;0;0;0;0;0;0;0;0;0;0;2021-06-18
2021-06-25;787.75;119.35;0;14.72;49.34;0;0;0;0;0;0;0;0;0;0;0;0;2021-06-25
2021-07-02;1000.88;0;0;1.25;0;0;37.16;0;0;0;0;0;0;0;0;0;0;2021-07-02
2021-07-09;646.66;44.91;0;130.03;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-07-09
2021-07-16;814.33;117.65;0;6.78;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-07-16
2021-07-23;719.81;79.58;44.02;4.01;0;0;18.90;0;0;0;0;0;0;0;0;0;0;2021-07-23
2021-07-30;740.11;132.88;43.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-07-30
2021-08-06;897.11;46.32;0;1.33;0;0;0;0;0;0.57;0;0;0;0;0;0;0;2021-08-06
2021-08-13;933.06;0;24.96;6.05;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-08-13
2021-08-20;929.13;40.06;0;0;0;0;40.22;0;0;0;0;0;0;0;0;0;0;2021-08-20
2021-08-27;716.76;0;49.35;0;0;0;48.27;0;0;0;0;0;0;0;0;0;0;2021-08-27
2021-09-03;709.72;0;0;45.99;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-09-03
2021-09-10;500.56;0;0;44.06;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-09-10
2021-09-17;674.09;10.36;0;33.76;0;0;39.63;0;0;0;0;0;0;0;0;0;0;2021-09-17
2021-09-24;583.90;0;0;27.37;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-09-24
2021-10-01;747.71;44.21;0;0;0;0;0;0;0;0.57;0;0;0;0;0;0;0;2021-10-01
2021-10-08;751.87;0;0;7.09;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-10-08
2021-10-15;780.76;45.45;0;44.81;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-10-15
2021-10-22;524.81;18.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-10-22
2021-10-29;591.05;43.04;0;5.33;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-10-29
2021-11-05;748.91;0;0;0;0;0;20.72;0;0;0;0;0;0;0;0;0;0;2021-11-05
2021-11-12;935.29;15.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-11-12
2021-11-19;912.98;0;0;45.54;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-11-19
2021-11-26;709.74;0;0;24.67;0;0;0.92;0;0;0;0;0;0;0;0;0;0;2021-11-26
2021-12-03;707.76;78.97;0;0;0;0;0;0;0;7.10;0;17.03;0;0;0;0;0;2021-12-03
2021-12-10;753.58;0;0;15.40;0;0;45.43;0;0;0;0;0;0;10.35;0;0;0;2021-12-10
2021-12-17;813.83;1.30;0;1.81;0;0;36.94;0;0;0;0;0;0;0;0;0;0;2021-12-17
2021-12-24;918.48;48.60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-12-24
2021-12-31;932.34;0;0;2.51;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-12-31
2022-01-07;931.00;42.91;0;0;0;0;0;0;0;22.78;0;0;0;0;0;0;0;2022-01-07
2022-01-14;864.49;42.54;0;0;0;0;38.12;0;0;22.78;0;0;0;0;0;0;0;2022-01-14
2022-01-21;565.99;24.67;0;0;0;0;17.76;0;0;0;0;0;0;0;0;0;0;2022-01-21
2022-01-28;573.22;15.85;0;0;0;0;18.31;0;0;0;0;0;0;0;0;0;0;2022-01-28
2022-02-04;709.42;15.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-02-04
2022-02-11;832.11;31.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-02-11
2022-02-18;527.36;0;0;0.74;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-02-18
2022-02-25;540.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-02-25
2022-03-04;979.33;29.70;0;5.08;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-03-04
2022-03-11;1026.60;0;0;12.33;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-03-11
2022-03-18;669.17;128.92;0;19.24;0;0;31.52;0;0;0;0;0;0;0;0;0;0;2022-03-18
2022-03-25;835.43;143.57;0;22.16;0;0;34.11;0;0;0;0;0;0;0;0;0;0;2022-03-25
2022-04-01;1036.01;87.95;0;7.62;0;0;0;0;0;0;0;15.55;0;0;0;0;0;2022-04-01
2022-04-08;959.42;83.85;0;37.76;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-04-08
2022-04-15;1023.01;77.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-04-15
2022-04-22;1174.48;0;0;0;0;0;53.36;0;0;0;0;0;0;0;0;0;0;2022-04-22
2022-04-29;1126.90;0;39.79;9.35;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-04-29
2022-05-06;889.36;42.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-05-06
2022-05-13;1025.00;0;0;21.10;0;0;41.10;0;0;0;0;0;0;0;0;24.67;0;2022-05-13
2022-05-20;654.05;10.74;45.27;17.18;0;15.72;0;0;0;0;0;0;0;0;0;0;0;2022-05-20
2022-05-27;884.38;0;0;3.74;0;0;0;0;0;4.32;0;0;0;0;0;0;0;2022-05-27
2022-06-03;1031.78;130.65;0;10.31;0;74.66;0;0;0;0;0;0;0;0;0;0;0;2022-06-03
2022-06-10;933.27;67.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-06-10
2022-06-17;937.52;0;0;0;0;19.00;20.57;0;0;0;0;0;0;0;0;0;0;2022-06-17
2022-06-24;827.07;45.67;0;15.88;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-06-24
2022-07-01;990.12;13.16;0;2.67;0;43.84;0;0;0;0;0;0;0;0;0;0;0;2022-07-01
2022-07-08;934.83;99.94;0;0;0;0;0;0;0;5.83;2.96;0;0;0;0;0;0;2022-07-08
2022-07-15;1311.55;42.64;0;1.60;0;44.48;49.09;0;0;0;0;0;0;0;0;0;0;2022-07-15
2022-07-22;1250.89;158.94;0;0;0;0;16.21;0;0;0;0;0;0;0;0;0;0;2022-07-22
2022-07-29;1308.18;87.33;0;0;0;37.03;47.46;35.52;0;0;0;0;0;0;0;0;0;2022-07-29
