Date;Latin America;North West Europe Zone;MED Zone (MED Sea+Black Sea);Other North Africa;Unknown;Western Africa;East Coast Canada;Southern Africa;Oceania;South-Central Asia;South-East Asia;Eastern Asia;Eastern Africa;Other Southern Europe;Other Middle East;West Coast Canada;Mideast Gulf;Period End Date
2019-11-15;881.72;0;0;0;4.97;0;0;0;0;0;0;0;0;0;0;0;0;2019-11-15
2019-11-22;793.14;68.92;42.64;0;0;0;20.37;0;0;0;0;0;0;0;0;0;0;2019-11-22
2019-11-29;856.15;70.35;0;0;27.23;0;0;0;0;0;0;0;0;0;0;0;0;2019-11-29
2019-12-06;866.69;46.37;77.62;0;5.70;0;8.70;0;0;0;0;0;0;0;0;0;0;2019-12-06
2019-12-13;665.52;44.31;96.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-12-13
2019-12-20;585.34;0;47.44;45.91;28.05;0;0;0;0;0;0;0;0;0;0;0;0;2019-12-20
2019-12-27;937.00;92.31;25.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2019-12-27
2020-01-03;880.28;71.00;48.51;0;6.86;0;0;0;0;0;0;0;0;0;0;0;0;2020-01-03
2020-01-10;838.07;63.13;0;0;13.28;0;0;0;0;0;0;0;0;0;0;0;0;2020-01-10
2020-01-17;519.22;49.34;0;0;48.31;0;0;0;0;0;0;0;0;0;0;0;0;2020-01-17
2020-01-24;736.16;63.39;0;42.42;5.02;0;0;0;0;0;9.14;0;0;0;0;0;0;2020-01-24
2020-01-31;820.27;23.48;63.95;72.61;15.71;63.37;0;0;0;0;0;0;0;0;0;0;0;2020-01-31
2020-02-07;513.29;90.74;66.96;141.54;1.96;45.25;0;0;0;0;0;0;0;0;0;0;0;2020-02-07
2020-02-14;745.50;19.67;0;0;23.79;66.20;0;0;0;0;0;0;0;0;0;0;0;2020-02-14
2020-02-21;680.32;0;87.40;64.26;27.31;0;0;0;0;0;0;0;0;0;0;0;0;2020-02-21
2020-02-28;926.66;201.07;222.07;0;0;43.41;0;0;0;0;0;0;0;0;0;0;0;2020-02-28
2020-03-06;819.60;93.04;0;0;2.58;0;0;0;0;0;0;0;0;0;0;0;0;2020-03-06
2020-03-13;806.64;0;0;0;26.44;0;0;0;0;0;0;0;0;0;0;0;0;2020-03-13
