period;originCountries;quantity
2023-11-17;Kuwait;16.37
2023-11-24;Canada;12.86
2023-11-24;Kuwait;32.74
2023-12-01;Canada;19.29
2023-12-01;Kuwait;71.89
2023-12-08;Kuwait;40.87
2023-12-15;Canada;12.86
2023-12-15;India;22.86
2023-12-22;Canada;6.43
2023-12-22;India;49.22
2023-12-22;Kuwait;46.57
2023-12-29;Canada;19.29
2023-12-29;Saudi Arabia;68.70
2024-01-05;India;72.35
2024-01-05;Saudi Arabia;44.96
2024-01-12;Canada;8.57
2024-01-19;Canada;12.55
2024-01-26;Canada;12.14
2024-02-02;Kuwait;18.34
2024-02-02;Saudi Arabia;69.15
2024-02-02;South Korea;26.43
2024-02-09;Kuwait;49.43
2024-02-16;Canada;16.00
2024-03-01;Canada;11.43
2024-03-08;Canada;7.86
2024-03-08;India;79.48
2024-03-15;Canada;6.43
2024-03-15;India;60.15
2024-03-22;Canada;22.86
2024-03-29;Canada;6.43
2024-04-05;Canada;16.43
2024-04-05;South Korea;34.65
2024-04-12;Canada;8.86
2024-04-26;United Arab Emirates;22.19
2024-05-03;Canada;4.57
2024-05-03;India;75.58
2024-05-03;Netherlands;46.14
2024-05-03;South Korea;44.96
2024-05-10;Canada;6.43
2024-05-10;India;74.31
2024-05-17;India;31.03
2024-05-17;Kuwait;44.45
2024-05-24;Canada;17.86
2024-05-24;Kuwait;24.00
2024-05-31;Canada;10.50
2024-06-07;Canada;16.86
2024-06-21;Belgium;41.71
2024-06-21;Kuwait;73.43
2024-06-28;Greece;49.09
2024-07-05;South Korea;43.43
2024-07-12;South Korea;12.13
2024-07-19;Canada;18.79
2024-07-26;Canada;11.43
2024-07-26;South Korea;57.68
2024-08-09;Canada;20.71
2024-08-09;South Korea;35.71
2024-08-16;Canada;12.86
2024-08-16;South Korea;41.42
2024-08-30;Canada;17.43
2024-09-06;Canada;12.13
2024-09-13;Canada;5.43
2024-10-25;Canada;6.43
2024-11-15;Canada;18.57
2024-11-15;Nigeria;45.86
2024-11-29;Bahamas;21.43
2024-11-29;Canada;12.86
2024-12-06;Bahamas;22.71
2024-12-06;Canada;12.92
2024-12-20;Belgium;1.13
