period;originCountries;quantity
2023-02;South Korea;11.03
2023-02;Taiwan;20.12
2023-03;Canada;119.61
2023-03;Colombia;4.68
2023-03;Nigeria;9.99
2023-03;South Korea;4.43
2023-04;Brazil;1.65
2023-04;Canada;109.69
2023-04;Colombia;9.67
2023-04;South Korea;1.24
2023-05;Canada;122.53
2023-05;Japan;0.58
2023-05;South Korea;9.57
2023-06;Canada;95.34
2023-06;Japan;3.11
2023-06;South Korea;3.26
2023-07;Canada;89.82
2023-07;Japan;9.61
2023-07;South Korea;2.97
2023-07;Spain;7.32
2023-08;Brazil;1.68
2023-08;Canada;91.05
2023-08;Colombia;1.61
2023-08;Japan;2.20
2023-08;Russian Federation;4.86
2023-08;Taiwan;0.31
2023-09;Canada;84.99
2023-09;Colombia;21.84
2023-09;Japan;3.56
2023-09;Nigeria;10.31
2023-09;South Korea;4.57
2023-10;Brazil;0.07
2023-10;Canada;64.00
2023-10;South Korea;1.11
2023-11;Brazil;0.78
2023-11;Canada;83.62
2023-11;Qatar;10.62
2023-11;South Korea;9.31
2023-11;United Arab Emirates;10.50
2023-12;Brazil;0.81
2023-12;Canada;124.13
2023-12;Colombia;10.24
2023-12;India;26.00
2023-12;Oman;2.18
2023-12;Qatar;18.73
2023-12;Saudi Arabia;23.70
2023-12;South Korea;1.26
2024-01;Brazil;3.02
2024-01;Canada;114.78
2024-01;Colombia;12.93
2024-01;Mexico;5.56
2024-01;South Korea;1.61
2024-02;Canada;147.90
2024-02;Israel;10.50
2024-02;Mexico;2.29
2024-02;South Korea;1.32
2024-03;Canada;131.49
2024-03;Mexico;5.16
2024-03;South Korea;0.37
2024-04;Canada;103.66
2024-04;Qatar;12.66
2024-04;South Korea;1.24
2024-05;Canada;86.46
2024-05;South Korea;4.55
2024-06;Brazil;0.91
2024-06;Canada;101.21
2024-06;South Korea;3.24
2024-07;Canada;86.03
2024-07;South Korea;3.42
2024-08;Canada;121.55
2024-08;Qatar;5.30
2024-08;South Korea;2.20
2024-09;Canada;119.04
2024-09;South Korea;3.57
2024-10;Canada;97.06
2024-10;Dominican Republic;0.84
2024-10;South Korea;3.15
2024-11;Canada;69.76
2024-11;South Korea;2.68
2024-12;Canada;130.70
2024-12;South Korea;2.81
2025-01;Canada;130.42
2025-01;New Zealand;8.49
2025-01;Qatar;5.64
2025-01;South Korea;3.13
2025-01;Trinidad and Tobago;7.72
2025-02;Belgium;83.02
2025-02;Brazil;0.93
2025-02;Canada;116.96
2025-02;Kuwait;27.50
2025-02;Netherlands;6.22
2025-02;New Zealand;2.71
2025-02;Qatar;7.73
2025-02;Saudi Arabia;1.20
2025-02;South Korea;3.58
2025-03;Belgium;23.41
2025-03;Canada;116.03
2025-03;Mexico;1.79
2025-03;Oman;10.67
2025-03;Qatar;2.65
2025-03;South Korea;0.93
2025-04;Canada;64.30
2025-04;India;8.21
2025-04;Mexico;4.47
2025-04;Qatar;1.25
2025-04;South Korea;3.56
