period;originCountries;quantity
2024-03-29;Canada;93.46
2024-04-05;Canada;83.61
2024-04-12;Canada;136.77
2024-04-19;Canada;152.44
2024-04-26;Canada;62.72
2024-05-03;Canada;107.75
2024-05-10;Canada;30.29
2024-05-17;Canada;96.03
2024-05-24;Canada;77.48
2024-05-31;Canada;104.76
2024-06-07;Canada;37.49
2024-06-14;Canada;135.70
2024-06-21;Canada;100.78
2024-06-28;Canada;47.80
2024-07-05;Canada;124.79
2024-07-12;Canada;62.23
2024-07-19;Canada;51.43
2024-07-26;Canada;106.76
2024-08-02;Canada;78.11
2024-08-09;Canada;65.29
2024-08-16;Canada;55.50
2024-08-23;Canada;196.92
2024-08-30;Canada;97.21
2024-09-06;Canada;128.53
2024-09-13;Canada;93.01
2024-09-20;Canada;60.45
2024-09-27;Canada;62.18
2024-10-04;Canada;90.17
2024-10-11;Canada;104.54
2024-10-18;Canada;77.71
2024-10-25;Canada;89.80
2024-11-01;Canada;132.06
2024-11-08;Canada;42.86
2024-11-15;Canada;40.00
2024-11-22;Canada;146.97
2024-11-29;Canada;65.71
2024-12-06;Canada;98.75
2024-12-13;Canada;70.29
2024-12-20;Canada;176.17
2024-12-27;Canada;153.07
2025-01-03;Canada;103.85
2025-01-10;Canada;122.12
2025-01-10;Qatar;24.97
2025-01-17;Canada;203.72
2025-01-17;Trinidad and Tobago;34.17
2025-01-24;Canada;90.14
2025-01-31;Canada;106.82
2025-02-07;Belgium;25.71
2025-02-07;Canada;103.46
2025-02-14;Belgium;142.62
2025-02-14;Canada;92.05
2025-02-21;Belgium;66.89
2025-02-21;Canada;64.00
2025-02-21;Kuwait;110.00
2025-02-21;Qatar;23.78
2025-02-21;Saudi Arabia;4.79
2025-02-28;Belgium;96.86
2025-02-28;Canada;193.69
2025-02-28;Netherlands;24.90
2025-02-28;Qatar;7.14
2025-03-07;Canada;102.98
2025-03-07;Oman;47.25
2025-03-07;Qatar;11.72
2025-03-14;Belgium;103.66
2025-03-14;Canada;112.59
2025-03-21;Canada;53.04
2025-03-28;Canada;83.61
2025-04-04;Canada;112.09
2025-04-11;Canada;36.26
2025-04-18;Canada;111.86
2025-04-25;Canada;50.31
2025-05-02;Canada;38.86
2025-05-09;Canada;108.39
2025-05-16;Canada;65.72
2025-05-23;Canada;106.15
2025-05-30;Canada;79.25
2025-05-30;Nigeria;46.40
2025-06-06;Canada;72.18
2025-06-13;Canada;72.33
2025-06-20;Canada;91.33
2025-06-27;Canada;74.08
2025-07-04;Canada;79.35
2025-07-11;Canada;87.80
2025-07-18;Canada;132.58
2025-07-25;Canada;131.39
2025-08-01;Canada;127.95
2025-08-08;Canada;88.02
2025-08-15;Canada;114.58
2025-08-22;Canada;69.43
2025-08-29;Canada;78.20
2025-09-05;Canada;152.32
2025-09-12;Canada;81.66
2025-09-19;Canada;22.85
2025-09-26;Canada;79.42
2025-10-03;Canada;114.34
2025-10-10;Canada;72.82
2025-10-17;Canada;40.78
2025-10-24;Canada;58.90
2025-10-31;Canada;79.30
2025-11-07;Canada;76.88
2025-11-14;Canada;54.94
2025-11-21;Canada;119.41
2025-11-28;Canada;168.49
