period;originCountries;quantity
2021-11-19;Netherlands;6.43
2021-11-19;Oman;2.86
2021-11-19;Qatar;41.29
2021-11-19;Russian Federation;48.07
2021-11-26;Canada;55.88
2021-11-26;Colombia;41.08
2021-11-26;Malaysia;22.77
2021-11-26;Netherlands;17.86
2021-11-26;Nigeria;18.22
2021-11-26;Russian Federation;195.77
2021-11-26;Singapore Republic;22.56
2021-12-03;Canada;115.77
2021-12-03;Nigeria;28.72
2021-12-03;Qatar;36.36
2021-12-10;Brazil;4.04
2021-12-10;Canada;125.60
2021-12-10;Colombia;40.72
2021-12-10;India;55.41
2021-12-10;Oman;29.48
2021-12-10;Qatar;26.14
2021-12-10;Russian Federation;48.13
2021-12-10;South Korea;110.04
2021-12-10;Taiwan;40.46
2021-12-17;Canada;126.48
2021-12-17;Oman;85.84
2021-12-17;Saudi Arabia;53.57
2021-12-17;South Korea;6.10
2021-12-24;Canada;155.16
2021-12-24;Japan;26.41
2021-12-31;Canada;162.77
2021-12-31;Japan;22.03
2022-01-07;Canada;99.82
2022-01-07;South Korea;5.68
2022-01-14;Canada;91.87
2022-01-14;Qatar;73.41
2022-01-21;Bahamas;1.02
2022-01-21;Canada;123.64
2022-01-21;Qatar;49.35
2022-01-21;South Korea;51.42
2022-01-28;Canada;121.54
2022-01-28;Qatar;30.29
2022-01-28;South Korea;1.71
2022-02-04;Canada;145.30
2022-02-04;Netherlands;179.22
2022-02-04;Russian Federation;8.50
2022-02-11;Belgium;54.90
2022-02-11;Canada;124.18
2022-02-11;Latvia;77.54
2022-02-11;Netherlands;17.85
2022-02-11;Russian Federation;122.79
2022-02-11;South Korea;6.27
2022-02-18;Belgium;15.78
2022-02-18;Canada;114.34
2022-02-18;Netherlands;25.36
2022-02-18;Qatar;15.11
2022-02-18;Russian Federation;73.32
2022-02-18;Saudi Arabia;206.84
2022-02-25;Canada;96.37
2022-02-25;Nigeria;44.22
2022-02-25;Qatar;66.21
2022-02-25;Russian Federation;19.32
2022-03-04;Canada;102.95
2022-03-04;Netherlands;76.23
2022-03-04;Oman;20.53
2022-03-04;Qatar;64.98
2022-03-11;Canada;113.15
2022-03-11;Netherlands;62.88
2022-03-11;Qatar;4.29
2022-03-18;Canada;130.86
2022-03-18;Qatar;41.23
2022-03-18;South Korea;51.33
2022-03-25;Canada;99.89
2022-04-01;Canada;73.40
2022-04-08;Canada;70.98
2022-04-15;Canada;103.12
2022-04-22;Canada;87.96
2022-04-22;South Korea;8.72
2022-04-29;Canada;54.11
2022-04-29;France;16.59
2022-04-29;Netherlands;3.17
2022-05-06;Canada;137.60
2022-05-06;Curacao;7.77
2022-05-06;Nigeria;44.29
2022-05-13;Canada;106.54
2022-05-20;Canada;47.77
2022-05-20;Netherlands;93.22
2022-05-20;South Korea;10.74
2022-05-27;Canada;62.14
2022-05-27;Netherlands;46.96
2022-05-27;Portugal;15.14
2022-05-27;South Korea;44.69
2022-05-27;Sweden;40.30
2022-06-03;Canada;93.28
2022-06-03;Japan;12.78
2022-06-03;Portugal;21.44
2022-06-03;Saudi Arabia;110.90
2022-06-03;South Korea;7.04
2022-06-10;Canada;74.95
2022-06-17;Canada;35.43
2022-06-24;Brazil;4.25
2022-06-24;Canada;54.51
2022-07-01;Canada;11.00
2022-07-01;Canada;68.82
2022-07-08;Canada;150.21
2022-07-15;Canada;152.09
2022-07-22;Canada;52.95
2022-07-22;Colombia;40.86
2022-07-22;South Korea;6.36
2022-07-29;Brazil;3.35
2022-07-29;Canada;174.84
2022-07-29;Russian Federation;50.22
2022-08-05;Canada;113.65
2022-08-05;South Korea;25.75
2022-08-12;Canada;135.49
2022-08-12;Colombia;17.16
2022-08-19;Canada;86.15
2022-08-19;Colombia;27.18
2022-08-26;Brazil;3.12
2022-08-26;Canada;160.58
2022-08-26;South Korea;6.43
2022-09-02;Canada;86.74
2022-09-02;Japan;10.30
2022-09-02;South Korea;62.86
2022-09-09;Canada;121.86
2022-09-09;Russian Federation;49.34
2022-09-16;Canada;60.73
2022-09-23;Canada;96.91
2022-09-30;Canada;91.26
2022-10-07;Canada;111.97
2022-10-14;Canada;46.14
2022-10-14;Japan;42.70
2022-10-14;Russian Federation;7.42
2022-10-14;South Korea;8.51
2022-10-21;Canada;91.95
2022-10-21;Japan;6.64
2022-10-21;South Korea;3.58
2022-10-28;Canada;66.65
2022-10-28;Malaysia;106.17
2022-11-04;Brazil;3.35
2022-11-04;Canada;52.33
2022-11-04;Japan;24.09
2022-11-04;Netherlands;37.72
2022-11-04;Qatar;87.94
2022-11-11;Canada;91.89
