Date;Total;Period End Date
2025-09-26;24.46;2025-09-26
2025-10-03;0.00;2025-10-03
2025-10-10;19.42;2025-10-10
2025-10-17;32.54;2025-10-17
2025-10-24;45.65;2025-10-24
2025-10-31;0.00;2025-10-31
2025-11-07;79.06;2025-11-07
2025-11-14;26.20;2025-11-14
2025-11-21;45.62;2025-11-21
2025-11-28;68.28;2025-11-28
2025-12-05;45.64;2025-12-05
2025-12-12;52.94;2025-12-12
2025-12-19;116.82;2025-12-19
2025-12-26;63.58;2025-12-26
2026-01-02;71.51;2026-01-02
2026-01-09;104.87;2026-01-09
2026-01-16;22.62;2026-01-16
2026-01-23;45.66;2026-01-23
2026-01-30;110.17;2026-01-30
2026-02-06;12.14;2026-02-06
2026-02-13;62.65;2026-02-13
2026-02-20;107.05;2026-02-20
2026-02-27;25.87;2026-02-27
2026-03-06;24.26;2026-03-06
2026-03-13;27.92;2026-03-13
2026-03-20;27.96;2026-03-20
2026-03-27;13.26;2026-03-27
2026-04-03;77.51;2026-04-03
2026-04-10;77.19;2026-04-10
2026-04-17;22.81;2026-04-17
2026-04-24;71.35;2026-04-24
2026-05-01;22.81;2026-05-01
2026-05-08;26.39;2026-05-08
2026-05-15;48.95;2026-05-15
2026-05-22;34.96;2026-05-22
2026-05-29;22.83;2026-05-29
2026-06-05;22.82;2026-06-05
2026-06-12;0.00;2026-06-12
2026-06-19;24.31;2026-06-19
2026-06-26;0.00;2026-06-26
2026-07-03;0.00;2026-07-03
2026-07-10;0.00;2026-07-10
2026-07-17;0.00;2026-07-17
2026-07-24;0.00;2026-07-24
2026-07-31;0.00;2026-07-31
2026-08-07;0.00;2026-08-07
2026-08-14;0.00;2026-08-14
2026-08-21;0.00;2026-08-21
