Date;Latin America;East Coast Canada;North West Europe Zone;MED Zone (MED Sea+Black Sea);Unknown;Western Africa;West Coast Canada;Other North Africa;Oceania;Eastern Asia;Other Southern Europe;Southern Africa;Period End Date
2022-03-25;150.09;0;0;0;0;0;0;0;0;0;0;0;2022-03-25
2022-04-01;142.38;0;0;0;0;0;0;0;0;0;0;0;2022-04-01
2022-04-08;65.94;0;0;0;0;0;0;0;0;0;0;0;2022-04-08
2022-04-15;184.93;0;0;46.13;0;0;0;0;0;0;0;0;2022-04-15
2022-04-22;171.24;0;0;0;0;0;0;0;0;0;0;0;2022-04-22
2022-04-29;172.64;0;0;0;0;0;0;0;0;0;0;0;2022-04-29
2022-05-06;175.03;0;0;0;0;0;0;0;0;0;0;0;2022-05-06
2022-05-13;137.11;0;0;0;0;0;0;0;0;0;0;0;2022-05-13
2022-05-20;175.58;0;0;0;0;0;0;0;0;0;0;0;2022-05-20
2022-05-27;114.14;0;3.00;0;0;0;0;0;0;0;0;0;2022-05-27
2022-06-03;187.89;0;0;0;0;0;0;0;0;0;0;0;2022-06-03
2022-06-10;213.06;0;0;0;0;0;0;0;0;0;0;0;2022-06-10
2022-06-17;147.41;50.46;0;0;0;0;0;0;0;0;0;0;2022-06-17
2022-06-24;143.11;0;0;44.61;0;0;0;0;0;0;0;0;2022-06-24
2022-07-01;84.96;39.76;0;0;0;0;0;0;0;0;0;0;2022-07-01
2022-07-08;88.59;41.21;0;0;0;0;0;0;0;0;0;0;2022-07-08
2022-07-15;338.37;0;0;0;0;0;0;0;0;0;0;0;2022-07-15
2022-07-22;64.09;0;0;0;0;0;0;0;0;0;0;0;2022-07-22
2022-07-29;218.02;0;0;0;8.08;0;0;0;0;0;0;0;2022-07-29
2022-08-05;88.43;28.15;0;0;7.22;0;0;0;0;5.86;0;0;2022-08-05
2022-08-12;45.29;57.74;0;0;0;0;0;0;0;0;0;0;2022-08-12
2022-08-19;180.81;10.83;0;0;0;0;0;0;0;0;0;0;2022-08-19
2022-08-26;175.00;43.31;0;0;0;0;0;0;0;0;0;0;2022-08-26
2022-09-02;106.37;0;43.31;0;0;0;0;0;0;0;0;0;2022-09-02
2022-09-09;49.94;0;93.28;0;0.80;0;0;0;0;0;0;0;2022-09-09
2022-09-16;100.06;20.38;46.19;0;0;0;0;0;0;0;0;0;2022-09-16
2022-09-23;242.32;54.41;0;45.69;0;0;0;0;0;0;0;0;2022-09-23
2022-09-30;135.08;10.83;0;0;0;0;0;0;0;0;0;0;2022-09-30
2022-10-07;126.29;0;0;0;0;0;0;0;0;0;0;0;2022-10-07
2022-10-14;96.80;49.17;0;0;0;0;0;0;0;0;0;0;2022-10-14
2022-10-21;174.43;0;0;0;0;0;0;0;0;0;0;0;2022-10-21
2022-10-28;65.66;0;0;0;0;0;0;0;0;0;0;0;2022-10-28
2022-11-04;118.25;24.05;39.55;0;3.51;0;0;0;0;0;0;0;2022-11-04
2022-11-11;117.97;0;0;0;0;0;0;0;0;0;0;0;2022-11-11
