fuel2002,fuel2002TypeDescription,fuelType,fuelTypeDescription,period,plantCode,plantName,primeMover,state,stateDescription,total-consumption,total-consumption-units
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55031,Androscoggin Energy Center,ALL,ME,Maine,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55031,Androscoggin Energy Center,GT,ME,Maine,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55079,Millennium Power,ALL,MA,Massachusetts,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55079,Millennium Power,CA,MA,Massachusetts,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55079,Millennium Power,CT,MA,Massachusetts,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55196,Springdale 1 & 2,ALL,PA,Pennsylvania,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55196,Springdale 1 & 2,GT,PA,Pennsylvania,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55317,Fore River Generating Station,ALL,MA,Massachusetts,52474,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55317,Fore River Generating Station,CA,MA,Massachusetts,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55317,Fore River Generating Station,CT,MA,Massachusetts,52474,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55347,Armstrong,ALL,PA,Pennsylvania,4630,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55347,Armstrong,GT,PA,Pennsylvania,4630,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55349,Pleasants Energy LLC,ALL,WV,West Virginia,16910,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55349,Pleasants Energy LLC,GT,WV,West Virginia,16910,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55375,Astoria Energy,ALL,NY,New York,141827,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55375,Astoria Energy,CA,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55375,Astoria Energy,CT,NY,New York,141827,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55377,Gans,ALL,PA,Pennsylvania,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55377,Gans,GT,PA,Pennsylvania,0,barrels
