fueltype,period,respondent,respondent-name,timezone,timezone-description,type-name,value,value-units
OIL,2019-03-23,NE,New England,Central,Central,Petroleum,354,megawatthours
OIL,2019-03-24,MIDA,Mid-Atlantic,Central,Central,Petroleum,1959,megawatthours
OIL,2019-03-24,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-03-25,MIDA,Mid-Atlantic,Central,Central,Petroleum,2105,megawatthours
OIL,2019-03-25,NE,New England,Central,Central,Petroleum,23,megawatthours
OIL,2019-03-26,MIDA,Mid-Atlantic,Central,Central,Petroleum,2159,megawatthours
OIL,2019-03-26,NE,New England,Central,Central,Petroleum,295,megawatthours
OIL,2019-03-27,MIDA,Mid-Atlantic,Central,Central,Petroleum,1958,megawatthours
OIL,2019-03-27,NE,New England,Central,Central,Petroleum,12,megawatthours
OIL,2019-03-28,MIDA,Mid-Atlantic,Central,Central,Petroleum,2034,megawatthours
OIL,2019-03-28,NE,New England,Central,Central,Petroleum,20,megawatthours
OIL,2019-03-29,MIDA,Mid-Atlantic,Central,Central,Petroleum,2013,megawatthours
OIL,2019-03-29,NE,New England,Central,Central,Petroleum,12,megawatthours
OIL,2019-03-30,MIDA,Mid-Atlantic,Central,Central,Petroleum,1977,megawatthours
OIL,2019-03-30,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-03-31,MIDA,Mid-Atlantic,Central,Central,Petroleum,1683,megawatthours
OIL,2019-03-31,NE,New England,Central,Central,Petroleum,1,megawatthours
OIL,2019-04-01,MIDA,Mid-Atlantic,Central,Central,Petroleum,1717,megawatthours
OIL,2019-04-01,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-04-02,MIDA,Mid-Atlantic,Central,Central,Petroleum,1708,megawatthours
OIL,2019-04-02,NE,New England,Central,Central,Petroleum,18,megawatthours
OIL,2019-04-03,MIDA,Mid-Atlantic,Central,Central,Petroleum,2578,megawatthours
OIL,2019-04-03,NE,New England,Central,Central,Petroleum,59,megawatthours
OIL,2019-04-04,MIDA,Mid-Atlantic,Central,Central,Petroleum,2605,megawatthours
OIL,2019-04-04,NE,New England,Central,Central,Petroleum,21,megawatthours
OIL,2019-04-05,MIDA,Mid-Atlantic,Central,Central,Petroleum,1921,megawatthours
OIL,2019-04-05,NE,New England,Central,Central,Petroleum,154,megawatthours
OIL,2019-04-06,MIDA,Mid-Atlantic,Central,Central,Petroleum,2117,megawatthours
OIL,2019-04-06,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-04-07,MIDA,Mid-Atlantic,Central,Central,Petroleum,1592,megawatthours
OIL,2019-04-07,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-04-08,MIDA,Mid-Atlantic,Central,Central,Petroleum,1750,megawatthours
OIL,2019-04-08,NE,New England,Central,Central,Petroleum,0,megawatthours
OIL,2019-04-09,MIDA,Mid-Atlantic,Central,Central,Petroleum,1509,megawatthours
OIL,2019-04-09,NE,New England,Central,Central,Petroleum,30,megawatthours
OIL,2019-04-10,MIDA,Mid-Atlantic,Central,Central,Petroleum,1625,megawatthours
