fueltype,period,respondent,respondent-name,type-name,value,value-units
OIL,2026-07-02T06,MIDA,Mid-Atlantic,Petroleum,850,megawatthours
OIL,2026-07-02T06,NE,New England,Petroleum,349,megawatthours
OIL,2026-07-02T05,MIDA,Mid-Atlantic,Petroleum,1460,megawatthours
OIL,2026-07-02T05,NE,New England,Petroleum,349,megawatthours
OIL,2026-07-02T04,MIDA,Mid-Atlantic,Petroleum,2419,megawatthours
OIL,2026-07-02T04,NE,New England,Petroleum,353,megawatthours
OIL,2026-07-02T03,MIDA,Mid-Atlantic,Petroleum,3751,megawatthours
OIL,2026-07-02T03,NE,New England,Petroleum,450,megawatthours
OIL,2026-07-02T02,MIDA,Mid-Atlantic,Petroleum,5538,megawatthours
OIL,2026-07-02T02,NE,New England,Petroleum,672,megawatthours
OIL,2026-07-02T01,MIDA,Mid-Atlantic,Petroleum,5800,megawatthours
OIL,2026-07-02T01,NE,New England,Petroleum,946,megawatthours
OIL,2026-07-02T00,MIDA,Mid-Atlantic,Petroleum,5278,megawatthours
OIL,2026-07-02T00,NE,New England,Petroleum,1230,megawatthours
OIL,2026-07-01T23,MIDA,Mid-Atlantic,Petroleum,4517,megawatthours
OIL,2026-07-01T23,NE,New England,Petroleum,1196,megawatthours
OIL,2026-07-01T22,MIDA,Mid-Atlantic,Petroleum,3431,megawatthours
OIL,2026-07-01T22,NE,New England,Petroleum,806,megawatthours
OIL,2026-07-01T21,MIDA,Mid-Atlantic,Petroleum,3263,megawatthours
OIL,2026-07-01T21,NE,New England,Petroleum,428,megawatthours
OIL,2026-07-01T20,MIDA,Mid-Atlantic,Petroleum,2946,megawatthours
OIL,2026-07-01T20,NE,New England,Petroleum,348,megawatthours
OIL,2026-07-01T19,MIDA,Mid-Atlantic,Petroleum,2740,megawatthours
OIL,2026-07-01T19,NE,New England,Petroleum,351,megawatthours
OIL,2026-07-01T18,MIDA,Mid-Atlantic,Petroleum,2160,megawatthours
OIL,2026-07-01T18,NE,New England,Petroleum,241,megawatthours
OIL,2026-07-01T17,MIDA,Mid-Atlantic,Petroleum,1930,megawatthours
OIL,2026-07-01T17,NE,New England,Petroleum,162,megawatthours
OIL,2026-07-01T16,MIDA,Mid-Atlantic,Petroleum,1928,megawatthours
OIL,2026-07-01T16,NE,New England,Petroleum,159,megawatthours
OIL,2026-07-01T15,MIDA,Mid-Atlantic,Petroleum,1155,megawatthours
OIL,2026-07-01T15,NE,New England,Petroleum,146,megawatthours
OIL,2026-07-01T14,MIDA,Mid-Atlantic,Petroleum,742,megawatthours
OIL,2026-07-01T14,NE,New England,Petroleum,140,megawatthours
OIL,2026-07-01T13,MIDA,Mid-Atlantic,Petroleum,721,megawatthours
OIL,2026-07-01T13,NE,New England,Petroleum,121,megawatthours
OIL,2026-07-01T12,MIDA,Mid-Atlantic,Petroleum,554,megawatthours
OIL,2026-07-01T12,NE,New England,Petroleum,103,megawatthours
OIL,2026-07-01T11,MIDA,Mid-Atlantic,Petroleum,557,megawatthours
OIL,2026-07-01T11,NE,New England,Petroleum,73,megawatthours
OIL,2026-07-01T10,MIDA,Mid-Atlantic,Petroleum,559,megawatthours
OIL,2026-07-01T10,NE,New England,Petroleum,39,megawatthours
OIL,2026-07-01T09,MIDA,Mid-Atlantic,Petroleum,559,megawatthours
OIL,2026-07-01T09,NE,New England,Petroleum,12,megawatthours
OIL,2026-07-01T08,MIDA,Mid-Atlantic,Petroleum,557,megawatthours
OIL,2026-07-01T08,NE,New England,Petroleum,0,megawatthours
OIL,2026-07-01T07,MIDA,Mid-Atlantic,Petroleum,556,megawatthours
OIL,2026-07-01T07,NE,New England,Petroleum,0,megawatthours
OIL,2026-07-01T06,MIDA,Mid-Atlantic,Petroleum,692,megawatthours
OIL,2026-07-01T06,NE,New England,Petroleum,0,megawatthours
OIL,2026-07-01T05,MIDA,Mid-Atlantic,Petroleum,1082,megawatthours
OIL,2026-07-01T05,NE,New England,Petroleum,0,megawatthours
OIL,2026-07-01T04,MIDA,Mid-Atlantic,Petroleum,3768,megawatthours
OIL,2026-07-01T04,NE,New England,Petroleum,39,megawatthours
OIL,2026-07-01T03,MIDA,Mid-Atlantic,Petroleum,4411,megawatthours
OIL,2026-07-01T03,NE,New England,Petroleum,39,megawatthours
