period,respondent,respondent-name,type,type-name,value,value-units
2026-09-20T19,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,105588,megawatthours
2026-09-20T19,MIDA,Mid-Atlantic,NG,Net generation,108504,megawatthours
2026-09-20T19,MIDA,Mid-Atlantic,TI,Total interchange,1117,megawatthours
2026-09-20T19,NE,New England,D,Demand,12517,megawatthours
2026-09-20T19,NE,New England,DF,Day-ahead demand forecast,12470,megawatthours
2026-09-20T19,NE,New England,NG,Net generation,12996,megawatthours
2026-09-20T19,NE,New England,TI,Total interchange,479,megawatthours
2026-09-20T18,MIDA,Mid-Atlantic,D,Demand,101930,megawatthours
2026-09-20T18,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,102940,megawatthours
2026-09-20T18,MIDA,Mid-Atlantic,NG,Net generation,105938,megawatthours
2026-09-20T18,MIDA,Mid-Atlantic,TI,Total interchange,925,megawatthours
2026-09-20T18,NE,New England,D,Demand,12443,megawatthours
2026-09-20T18,NE,New England,DF,Day-ahead demand forecast,12520,megawatthours
2026-09-20T18,NE,New England,NG,Net generation,12923,megawatthours
2026-09-20T18,NE,New England,TI,Total interchange,480,megawatthours
2026-09-20T17,MIDA,Mid-Atlantic,D,Demand,98983,megawatthours
2026-09-20T17,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,100227,megawatthours
2026-09-20T17,MIDA,Mid-Atlantic,NG,Net generation,103644,megawatthours
2026-09-20T17,MIDA,Mid-Atlantic,TI,Total interchange,1041,megawatthours
2026-09-20T17,NE,New England,D,Demand,12122,megawatthours
2026-09-20T17,NE,New England,DF,Day-ahead demand forecast,12070,megawatthours
2026-09-20T17,NE,New England,NG,Net generation,12727,megawatthours
2026-09-20T17,NE,New England,TI,Total interchange,605,megawatthours
2026-09-20T16,MIDA,Mid-Atlantic,D,Demand,95899,megawatthours
2026-09-20T16,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,96933,megawatthours
2026-09-20T16,MIDA,Mid-Atlantic,NG,Net generation,99906,megawatthours
2026-09-20T16,MIDA,Mid-Atlantic,TI,Total interchange,908,megawatthours
2026-09-20T16,NE,New England,D,Demand,11732,megawatthours
2026-09-20T16,NE,New England,DF,Day-ahead demand forecast,11750,megawatthours
2026-09-20T16,NE,New England,NG,Net generation,12733,megawatthours
2026-09-20T16,NE,New England,TI,Total interchange,1001,megawatthours
2026-09-20T15,MIDA,Mid-Atlantic,D,Demand,94125,megawatthours
2026-09-20T15,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,93267,megawatthours
2026-09-20T15,MIDA,Mid-Atlantic,NG,Net generation,97414,megawatthours
2026-09-20T15,MIDA,Mid-Atlantic,TI,Total interchange,964,megawatthours
2026-09-20T15,NE,New England,D,Demand,11433,megawatthours
2026-09-20T15,NE,New England,DF,Day-ahead demand forecast,11020,megawatthours
2026-09-20T15,NE,New England,NG,Net generation,12690,megawatthours
2026-09-20T15,NE,New England,TI,Total interchange,1257,megawatthours
2026-09-20T14,MIDA,Mid-Atlantic,D,Demand,91210,megawatthours
2026-09-20T14,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,89479,megawatthours
2026-09-20T14,MIDA,Mid-Atlantic,NG,Net generation,93542,megawatthours
2026-09-20T14,MIDA,Mid-Atlantic,TI,Total interchange,1088,megawatthours
2026-09-20T14,NE,New England,D,Demand,11545,megawatthours
2026-09-20T14,NE,New England,DF,Day-ahead demand forecast,10690,megawatthours
2026-09-20T14,NE,New England,NG,Net generation,12523,megawatthours
2026-09-20T14,NE,New England,TI,Total interchange,978,megawatthours
2026-09-20T13,MIDA,Mid-Atlantic,D,Demand,87742,megawatthours
2026-09-20T13,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,85753,megawatthours
2026-09-20T13,MIDA,Mid-Atlantic,NG,Net generation,90057,megawatthours
2026-09-20T13,MIDA,Mid-Atlantic,TI,Total interchange,1186,megawatthours
2026-09-20T13,NE,New England,D,Demand,11088,megawatthours
