week_ending,commodity,padd1_imports_total_kbd,padd1_imports_canada_kbd,padd1_imports_non_canada_kbd,padd1_exports_total_kbd,padd1ab_imports_total_kbd,padd1ab_imports_canada_kbd,padd1ab_imports_non_canada_kbd,padd1ab_exports_total_kbd,padd1ab_exports_europe_kbd,padd1ab_exports_other_kbd,padd1c_imports_total_kbd,padd1c_imports_canada_kbd,padd1c_imports_non_canada_kbd,padd1c_imports_intra_us_kbd,padd1c_exports_total_kbd,padd3_to_padd1_kbd,padd3_to_padd1ab_kbd,padd3_to_padd1c_kbd,padd3_to_padd5_kbd,padd3_exports_total_kbd,padd3_exports_africa_kbd,padd3_exports_europe_kbd,padd3_exports_latin_america_kbd,padd3_exports_other_kbd,padd5_imports_total_kbd,padd5_exports_total_kbd,us_imports_total_kbd,us_imports_canada_kbd,us_imports_non_canada_kbd,us_exports_total_kbd,us_exports_europe_kbd,us_exports_latin_america_kbd
2019-04-05,diesel,0.0,0.0,0.0,0.0,51.94,51.94,0.0,0.0,0.0,0.0,50.76,0.0,50.76,0.0,0.0,65.74,0.0,65.74,0.0,863.8399999999999,0.0,43.48,815.06,5.2999999999999545,0.0,165.69,102.69999999999999,51.94,50.75999999999999,1029.53,43.48,958.53
2019-04-12,diesel,0.0,0.0,0.0,0.0,70.56,43.72,26.840000000000003,14.19,0.0,14.19,0.0,0.0,0.0,0.0,0.0,225.05,0.0,225.05,0.0,978.42,47.25,92.27000000000001,827.66,11.240000000000009,0.0,138.65,70.56,43.72,26.840000000000003,1131.27,92.27000000000001,966.31
2019-04-19,diesel,0.0,0.0,0.0,0.0,105.01,71.87,33.14,17.84,0.0,17.84,118.91,37.28,81.63,0.0,0.0,112.91,0.0,112.91,0.0,915.97,0.0,110.5,772.51,32.960000000000036,0.0,0.0,276.77,109.14,167.63,933.8100000000001,110.5,772.51
2019-04-26,diesel,0.0,0.0,0.0,0.0,114.87,109.26,5.609999999999999,42.07,42.07,0.0,0.0,0.0,0.0,0.0,0.0,143.54,0.0,143.54,0.0,946.13,0.0,100.36,806.33,39.43999999999994,26.94,238.75,141.81,120.27,21.540000000000006,1226.93,193.43,994.06
2019-05-03,diesel,0.0,0.0,0.0,0.0,64.16,60.61,3.549999999999997,0.0,0.0,0.0,14.32,0.0,14.32,0.0,0.0,164.33,1.71,162.62,0.0,1091.8,0.0,212.72,831.53,47.549999999999955,0.0,56.11,99.91,60.61,39.3,1147.9099999999999,212.72,887.64
2019-05-10,diesel,0.0,0.0,0.0,0.0,23.75,17.86,5.890000000000001,109.47,77.13,32.34,0.0,0.0,0.0,0.0,0.0,90.59,0.0,90.59,0.0,783.53,0.0,220.54000000000002,562.99,0.0,0.0,3.92,23.75,17.86,5.890000000000001,896.92,297.66999999999996,566.91
2019-05-17,diesel,0.0,0.0,0.0,0.0,76.45,76.45,0.0,18.19,0.0,18.19,0.0,0.0,0.0,0.0,0.0,174.42,0.0,174.42,0.0,788.83,26.72,50.52,647.13,64.46000000000004,45.85,84.35,162.59,122.3,40.290000000000006,891.3600000000001,50.52,731.47
2019-05-24,diesel,0.0,0.0,0.0,0.0,121.54,67.8,53.74000000000001,44.71,44.71,0.0,46.81,0.0,46.81,0.0,0.0,108.51,0.0,108.51,0.0,1170.26,167.20000000000002,204.61,752.81,45.639999999999986,15.03,17.19,198.75,67.8,130.95,1232.16,249.32,770.0
2019-05-31,diesel,0.0,0.0,0.0,0.0,35.34,17.57,17.770000000000003,96.86,46.18,50.68,27.85,0.0,27.85,0.0,0.0,116.11,0.0,116.11,0.0,992.23,42.92,162.89000000000001,748.69,37.73000000000002,13.69,27.23,76.88,17.57,59.309999999999995,1116.3200000000002,209.07000000000002,826.6
2019-06-07,diesel,0.0,0.0,0.0,0.0,55.25,55.25,0.0,0.0,0.0,0.0,46.63,0.0,46.63,0.0,0.0,134.74,0.0,134.74,0.0,1039.23,155.29,244.56,632.5,6.880000000000109,0.0,134.59,107.46,55.25,52.209999999999994,1173.82,244.56,767.09
2019-06-14,diesel,0.0,0.0,0.0,0.0,65.96,65.96,0.0,27.83,0.0,27.83,39.73,0.0,39.73,0.0,0.0,141.54,0.0,141.54,0.0,1118.55,38.97,278.37,782.13,19.079999999999927,49.35,121.2,155.04,65.96,89.08,1267.5800000000002,278.37,903.33
2019-06-21,diesel,0.0,0.0,0.0,0.0,25.57,25.57,0.0,116.44999999999999,44.13,72.32,0.0,0.0,0.0,0.0,0.0,84.73,10.34,74.39,0.0,1025.05,46.9,298.87,616.35,62.92999999999995,25.0,119.44,50.57,50.57,0.0,1260.9500000000003,343.0,800.22
2019-06-28,diesel,0.0,0.0,0.0,0.0,86.05,71.81,14.239999999999995,0.0,0.0,0.0,27.47,0.0,27.47,0.0,0.0,105.52,0.0,105.52,0.0,1298.68,73.95,218.79,1005.94,0.0,0.0,23.66,113.52,71.81,41.709999999999994,1322.34,218.79,1029.6
