month,commodity,padd1_imports_total_kbd,padd1_imports_canada_kbd,padd1_imports_non_canada_kbd,padd1_exports_total_kbd,padd1ab_imports_total_kbd,padd1ab_imports_canada_kbd,padd1ab_imports_non_canada_kbd,padd1ab_exports_total_kbd,padd1ab_exports_europe_kbd,padd1ab_exports_other_kbd,padd1c_imports_total_kbd,padd1c_imports_canada_kbd,padd1c_imports_non_canada_kbd,padd1c_imports_intra_us_kbd,padd1c_exports_total_kbd,padd3_to_padd1_kbd,padd3_to_padd1ab_kbd,padd3_to_padd1c_kbd,padd3_to_padd5_kbd,padd3_exports_total_kbd,padd3_exports_africa_kbd,padd3_exports_europe_kbd,padd3_exports_latin_america_kbd,padd3_exports_other_kbd,padd5_imports_total_kbd,padd5_exports_total_kbd,us_imports_total_kbd,us_imports_canada_kbd,us_imports_non_canada_kbd,us_exports_total_kbd,us_exports_europe_kbd,us_exports_latin_america_kbd
2021-08,jet,96.03,7.31,88.72,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,163.63999999999996,0.0,6.18,145.38,12.079999999999956,164.25,10.18,0.0,0.0,0.0,0.0,0.0,0.0
2021-09,jet,122.52,3.0,119.52,10.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.04,0.0,0.0,0.0,84.41,0.0,18.38,63.55,2.480000000000004,182.72,5.03,0.0,0.0,0.0,0.0,0.0,0.0
2021-10,jet,146.15,1.45,144.70000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.12,0.0,0.0,0.0,99.12,0.0,9.78,79.94,9.400000000000006,116.48,8.15,0.0,0.0,0.0,0.0,0.0,0.0
2021-11,jet,56.58,6.26,50.32,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.17,0.0,0.0,0.0,137.48000000000002,0.0,14.580000000000002,116.81,6.090000000000018,103.57,14.2,0.0,0.0,0.0,0.0,0.0,0.0
2021-12,jet,102.08000000000001,14.49,87.59000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19,0.0,0.0,0.0,166.88,0.0,9.36,157.52,0.0,71.33,12.24,0.0,0.0,0.0,0.0,0.0,0.0
2022-01,jet,63.45,1.02,62.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.24,0.0,0.0,0.0,170.75000000000003,0.0,10.55,137.02,23.180000000000007,127.61,8.11,0.0,0.0,0.0,0.0,0.0,0.0
2022-02,jet,51.94,1.61,50.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.24,0.0,0.0,0.0,132.88,0.0,0.0,108.27,24.61,67.82,8.06,0.0,0.0,0.0,0.0,0.0,0.0
2022-03,jet,50.67,10.89,39.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.41,0.0,0.0,0.0,141.89,0.0,0.0,141.89,0.0,86.47,3.24,0.0,0.0,0.0,0.0,0.0,0.0
2022-04,jet,59.03,9.83,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.64,0.0,0.0,0.0,161.31,0.0,10.76,150.55,0.0,115.01,5.01,0.0,0.0,0.0,0.0,0.0,0.0
2022-05,jet,31.950000000000003,15.49,16.46,6.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.77,0.0,0.0,0.0,147.56,0.0,0.68,146.88,0.0,118.18,8.87,0.0,0.0,0.0,0.0,0.0,0.0
