month,commodity,padd1_imports_total_kbd,padd1_imports_canada_kbd,padd1_imports_non_canada_kbd,padd1_exports_total_kbd,padd1ab_imports_total_kbd,padd1ab_imports_canada_kbd,padd1ab_imports_non_canada_kbd,padd1ab_exports_total_kbd,padd1ab_exports_europe_kbd,padd1ab_exports_other_kbd,padd1c_imports_total_kbd,padd1c_imports_canada_kbd,padd1c_imports_non_canada_kbd,padd1c_imports_intra_us_kbd,padd1c_exports_total_kbd,padd3_to_padd1_kbd,padd3_to_padd1ab_kbd,padd3_to_padd1c_kbd,padd3_to_padd5_kbd,padd3_exports_total_kbd,padd3_exports_africa_kbd,padd3_exports_europe_kbd,padd3_exports_latin_america_kbd,padd3_exports_other_kbd,padd5_imports_total_kbd,padd5_exports_total_kbd,us_imports_total_kbd,us_imports_canada_kbd,us_imports_non_canada_kbd,us_exports_total_kbd,us_exports_europe_kbd,us_exports_latin_america_kbd
2021-02,diesel,0.0,0.0,0.0,0.0,308.2,107.16,201.04,10.63,0.0,10.63,162.93,8.73,154.20000000000002,128.82,,116.49,,116.49,0.0,550.84,,0.0,497.63,53.210000000000036,25.86,74.16,368.15999999999997,130.57,237.58999999999997,635.62,0.0,573.26
2021-03,diesel,0.0,0.0,0.0,0.0,355.23,122.52,232.71000000000004,20.19,0.0,20.19,207.71,,207.71,142.33,,156.22,,156.22,0.0,505.14,,0.0,494.77,10.370000000000005,7.11,77.38,437.46999999999997,129.62,307.84999999999997,602.71,0.0,581.03
2021-04,diesel,0.0,0.0,0.0,0.0,137.15999999999997,94.85,42.309999999999974,9.95,0.0,9.95,172.59000000000003,3.33,169.26000000000002,151.69,,159.17999999999998,3.95,155.23,0.0,778.78,,0.0,735.78,43.0,11.46,25.58,179.57999999999996,98.18,81.39999999999995,814.3,0.0,757.25
2021-05,diesel,0.0,0.0,0.0,0.0,182.01000000000002,85.25,96.76000000000002,11.13,0.0,11.13,187.16000000000003,,187.16000000000003,159.33,,168.56,11.22,157.34,0.0,793.26,,0.0,725.66,67.60000000000002,11.29,41.09,222.11,85.25,136.86,845.47,0.0,765.55
2021-06,diesel,0.0,0.0,0.0,0.0,179.55,61.84,117.71000000000001,3.61,0.0,3.61,167.47,9.23,158.24,143.77,,142.87,,142.87,0.0,873.3,,0.0,724.28,149.01999999999998,12.96,48.38,226.41000000000003,71.07,155.34000000000003,925.29,0.0,774.99
2021-07,diesel,0.0,0.0,0.0,0.0,87.86,69.17,18.689999999999998,11.899999999999999,0.0,11.899999999999999,199.21999999999997,,199.21999999999997,179.26,,164.82,,164.82,0.0,837.64,,0.0,719.06,118.58000000000004,0.54,43.84,110.98,71.79,39.19,893.39,0.0,752.61
2021-08,diesel,0.0,0.0,0.0,0.0,163.98000000000002,80.02,83.96000000000002,13.639999999999999,0.0,13.639999999999999,197.28,8.06,189.22,164.27,1.48,182.78,3.82,178.96,0.0,905.12,,0.0,849.38,55.74000000000001,25.45,25.61,222.44000000000003,92.57,129.87000000000003,945.8599999999999,0.0,877.41
2021-09,diesel,0.0,0.0,0.0,0.0,140.48999999999998,48.26,92.22999999999999,4.41,0.0,4.41,149.91,8.61,141.3,108.66,1.88,105.05,5.72,99.33,0.0,628.48,,0.0,586.37,42.110000000000014,4.14,27.19,186.76,60.02,126.73999999999998,661.9499999999999,0.0,615.3
2021-10,diesel,0.0,0.0,0.0,0.0,207.46,45.56,161.9,,0.0,0.0,141.54,,141.54,105.05,,112.79,5.53,107.26,0.0,651.43,,0.0,615.72,35.70999999999992,18.47,38.51,262.42,52.82,209.60000000000002,689.9499999999999,0.0,652.98
2021-11,diesel,0.0,0.0,0.0,0.0,232.08,83.2,148.88,7.57,0.0,7.57,153.17999999999998,8.17,145.01,80.95,3.55,89.76,3.15,86.61,0.0,794.39,,0.0,759.32,35.069999999999936,0.97,41.2,309.75,91.37,218.38,846.7099999999999,0.0,807.72
